adjustment_id,customer_id,source_customer_id,customer_full_name,ticket_id,adjustment_type,amount,reason,status,created_date
ADJ000001,C000037,2723,Mary Brady,T5001,Credit,77.19,Technical issue,Pending Approval,2026-05-06
ADJ000002,C000325,291,John Smith,T5002,Credit,60.29,Technical issue,Pending Approval,2026-05-06
ADJ000003,C001906,2825,Sarah Smith,T5007,Credit,42.77,Product inquiry,Pending Approval,2026-05-06
ADJ000004,C000346,12235,Jane Smith,T5008,Credit,59.80,Refund request,Pending Approval,2026-05-06
ADJ000005,C001299,7099,Mary Smith,T5010,Credit,46.94,Refund request,Pending Approval,2026-05-06
ADJ000006,C000369,9153,Sharon Jenkins,T5011,Credit,59.39,Cancellation request,Approved,2026-05-06
ADJ000007,C001041,7974,Mary Shaw,T5012,Credit,49.35,Product inquiry,Approved,2026-05-06
ADJ000008,C001472,7738,Mary Smith,T5015,Credit,45.60,Billing inquiry,Approved,2026-05-06
ADJ000009,C001597,6834,Mary Smith,T5016,Credit,44.74,Billing inquiry,Approved,2026-05-06
ADJ000010,C001662,1116,Mary Henderson,T5017,Credit,44.39,Product inquiry,Pending Approval,2026-05-06
ADJ000011,C000163,230,Kimberly Smith,T5018,Credit,66.48,Product inquiry,Approved,2026-05-06
ADJ000012,C000393,6959,Joan Lin,T5019,Credit,58.90,Product inquiry,Approved,2026-05-06
ADJ000013,C000534,1512,Mary Rowe,T5020,Refund,56.14,Refund request,Approved,2026-05-06
ADJ000014,C001426,8294,Mary Smith,T5021,Refund,45.99,Refund request,Approved,2026-05-06
ADJ000015,C001801,2467,Keith Smith,T5022,Credit,43.54,Cancellation request,Pending Approval,2026-05-06
ADJ000016,C000926,2083,Mary Smith,T5025,Credit,50.70,Product inquiry,Pending Approval,2026-05-06
ADJ000017,C001258,1478,Anna Sanchez,T5028,Credit,47.34,Cancellation request,Approved,2026-05-06
ADJ000018,C001320,6003,Mary Smith,T5029,Credit,46.80,Technical issue,Pending Approval,2026-05-06
ADJ000019,C000551,10490,Brenda Ramirez,T5034,Credit,55.89,Refund request,Pending Approval,2026-05-06
ADJ000020,C000751,2087,Mary Burton,T5035,Refund,52.87,Refund request,Approved,2026-05-06
ADJ000021,C001046,9721,Mary Smith,T5036,Credit,49.29,Cancellation request,Approved,2026-05-06
ADJ000022,C001338,4308,William Smith,T5037,Refund,46.66,Refund request,Approved,2026-05-06
ADJ000023,C000127,4022,Mary Harding,T5039,Credit,68.49,Technical issue,Pending Approval,2026-05-06
ADJ000024,C000947,5296,Evelyn Jefferson,T5042,Credit,50.47,Billing inquiry,Pending Approval,2026-05-06
ADJ000025,C000972,8542,Jane Rich,T5045,Credit,50.10,Refund request,Pending Approval,2026-05-06
ADJ000026,C001576,4838,Mark Frank,T5047,Refund,44.89,Refund request,Approved,2026-05-06
ADJ000027,C000264,10610,Nancy Bryant,T5049,Credit,62.43,Cancellation request,Approved,2026-05-06
