note_id,customer_id,source_customer_id,customer_full_name,scenario,topic,note_date,author,note_type,note_text,synthetic_flag,source_signal_ids
N7001,C000001,791,Mary Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Smith has a late_delivery_frustration pattern tied to Fishing.,true,T5907
N7002,C000001,791,Mary Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Mary Smith; topic is late_delivery_recovery.,true,T5907
N7003,C000001,791,Mary Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Smith needs follow-up based on risk band Medium and support history.,true,T5907
N7004,C000001,791,Mary Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Mary Smith shows late-rate 0.6047 with category concentration in Fishing.,true,T5907
N7005,C000001,791,Mary Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Mary Smith; retain evidence links before outreach.,true,T5907
N7006,C000002,9371,Mary Patterson,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Patterson has a late_delivery_frustration pattern tied to Cleats.,true,T5659
N7007,C000002,9371,Mary Patterson,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Mary Patterson; topic is late_delivery_recovery.,true,T5659
N7008,C000002,9371,Mary Patterson,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Patterson needs follow-up based on risk band Medium and support history.,true,T5659
N7009,C000002,9371,Mary Patterson,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Mary Patterson shows late-rate 0.6136 with category concentration in Cleats.,true,T5659
N7010,C000002,9371,Mary Patterson,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Mary Patterson; retain evidence links before outreach.,true,T5659
N7011,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Duncan has a escalation_retention_case pattern tied to Fishing.,true,T6266
N7012,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Mary Duncan; topic is executive_escalation.,true,T6266
N7013,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Duncan needs follow-up based on risk band Medium and support history.,true,T6266
N7014,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Mary Duncan shows late-rate 0.4737 with category concentration in Fishing.,true,T6266
N7015,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Mary Duncan; retain evidence links before outreach.,true,T6266
N7016,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T6266
N7017,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Mary Duncan resolves the current executive_escalation thread.,true,T6266
N7018,C000003,8766,Mary Duncan,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Mary Duncan: protect revenue, close open issues, and document human review.",true,T6266
