engagement_id,customer_id,source_customer_id,customer_full_name,event_date,event_type,campaign,channel,engagement_score
ENG000001,C000001,791,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000002,C000001,791,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000003,C000001,791,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000004,C000001,791,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000005,C000002,9371,Mary Patterson,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000006,C000002,9371,Mary Patterson,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000007,C000002,9371,Mary Patterson,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000008,C000002,9371,Mary Patterson,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000009,C000003,8766,Mary Duncan,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000010,C000003,8766,Mary Duncan,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000011,C000003,8766,Mary Duncan,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000012,C000003,8766,Mary Duncan,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000013,C000004,1657,Betty Phillips,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000014,C000004,1657,Betty Phillips,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000015,C000004,1657,Betty Phillips,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000016,C000004,1657,Betty Phillips,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000017,C000005,2641,Betty Spears,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000018,C000005,2641,Betty Spears,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000019,C000005,2641,Betty Spears,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000020,C000005,2641,Betty Spears,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000021,C000006,1288,Evelyn Thompson,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000022,C000006,1288,Evelyn Thompson,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000023,C000006,1288,Evelyn Thompson,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000024,C000006,1288,Evelyn Thompson,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000025,C000007,3710,Ashley Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000026,C000007,3710,Ashley Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000027,C000007,3710,Ashley Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000028,C000007,3710,Ashley Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000029,C000008,4249,Mary Butler,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000030,C000008,4249,Mary Butler,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000031,C000008,4249,Mary Butler,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000032,C000008,4249,Mary Butler,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000033,C000009,5654,Jerry Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000034,C000009,5654,Jerry Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000035,C000009,5654,Jerry Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000036,C000009,5654,Jerry Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000037,C000010,5624,Mary Mata,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000038,C000010,5624,Mary Mata,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000039,C000010,5624,Mary Mata,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000040,C000010,5624,Mary Mata,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000041,C000011,5715,Kelly Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000042,C000011,5715,Kelly Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000043,C000011,5715,Kelly Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000044,C000011,5715,Kelly Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000045,C000012,1464,Amber Dixon,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000046,C000012,1464,Amber Dixon,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000047,C000012,1464,Amber Dixon,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000048,C000012,1464,Amber Dixon,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000049,C000013,10235,Joseph Singh,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000050,C000013,10235,Joseph Singh,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000051,C000013,10235,Joseph Singh,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000052,C000013,10235,Joseph Singh,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000053,C000014,664,Bobby Jimenez,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000054,C000014,664,Bobby Jimenez,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000055,C000014,664,Bobby Jimenez,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000056,C000014,664,Bobby Jimenez,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000057,C000015,10351,Teresa Gray,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000058,C000015,10351,Teresa Gray,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000059,C000015,10351,Teresa Gray,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000060,C000015,10351,Teresa Gray,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000061,C000016,2292,Ashley Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
