customer_id,source_customer_id,source_dataset,customer_full_name,customer_email,mapping_method,mapping_note
C000001,791,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000002,9371,DataCo SMART Supply Chain,Mary Patterson,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000003,8766,DataCo SMART Supply Chain,Mary Duncan,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000004,1657,DataCo SMART Supply Chain,Betty Phillips,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000005,2641,DataCo SMART Supply Chain,Betty Spears,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000006,1288,DataCo SMART Supply Chain,Evelyn Thompson,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000007,3710,DataCo SMART Supply Chain,Ashley Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000008,4249,DataCo SMART Supply Chain,Mary Butler,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000009,5654,DataCo SMART Supply Chain,Jerry Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000010,5624,DataCo SMART Supply Chain,Mary Mata,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000011,5715,DataCo SMART Supply Chain,Kelly Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000012,1464,DataCo SMART Supply Chain,Amber Dixon,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000013,10235,DataCo SMART Supply Chain,Joseph Singh,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000014,664,DataCo SMART Supply Chain,Bobby Jimenez,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000015,10351,DataCo SMART Supply Chain,Teresa Gray,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000016,2292,DataCo SMART Supply Chain,Ashley Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000017,4663,DataCo SMART Supply Chain,Paul Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000018,3708,DataCo SMART Supply Chain,Judy Miller,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000019,12284,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000020,7200,DataCo SMART Supply Chain,Katherine Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000021,5927,DataCo SMART Supply Chain,Christopher Cooper,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000022,5004,DataCo SMART Supply Chain,Dorothy Friedman,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000023,1443,DataCo SMART Supply Chain,Denise Cohen,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000024,6316,DataCo SMART Supply Chain,Kyle Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000025,12431,DataCo SMART Supply Chain,Mary Rios,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000026,5897,DataCo SMART Supply Chain,Mary Griffin,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000027,2774,DataCo SMART Supply Chain,Sandra Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000028,1011,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000029,6950,DataCo SMART Supply Chain,Nicholas Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000030,5216,DataCo SMART Supply Chain,Mary Pitts,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000031,9300,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000032,10591,DataCo SMART Supply Chain,Deborah Humphrey,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000033,9727,DataCo SMART Supply Chain,Mary Cruz,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000034,9557,DataCo SMART Supply Chain,Mary Figueroa,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000035,6375,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000036,4781,DataCo SMART Supply Chain,Janet Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000037,2723,DataCo SMART Supply Chain,Mary Brady,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000038,11017,DataCo SMART Supply Chain,Rachel Prince,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000039,5146,DataCo SMART Supply Chain,Harry Graves,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000040,9271,DataCo SMART Supply Chain,Christopher Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000041,12285,DataCo SMART Supply Chain,Patrick Mcgee,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000042,8517,DataCo SMART Supply Chain,Debra Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000043,7218,DataCo SMART Supply Chain,Mary Nguyen,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000044,749,DataCo SMART Supply Chain,Jesse Matthews,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000045,10777,DataCo SMART Supply Chain,Martha Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000046,1492,DataCo SMART Supply Chain,Gerald Patel,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000047,5691,DataCo SMART Supply Chain,James Brown,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000048,5217,DataCo SMART Supply Chain,David Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000049,9737,DataCo SMART Supply Chain,Benjamin Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000050,10371,DataCo SMART Supply Chain,Joseph Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000051,341,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000052,2484,DataCo SMART Supply Chain,Sarah Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000053,9883,DataCo SMART Supply Chain,Michelle Waters,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000054,9494,DataCo SMART Supply Chain,Robert Gilmore,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000055,5283,DataCo SMART Supply Chain,Jacob Guerrero,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000056,1695,DataCo SMART Supply Chain,Amanda Marquez,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000057,1920,DataCo SMART Supply Chain,Stephanie Archer,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000058,11065,DataCo SMART Supply Chain,Aaron Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000059,9962,DataCo SMART Supply Chain,Diana Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000060,5053,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000061,773,DataCo SMART Supply Chain,Dylan Horton,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000062,11431,DataCo SMART Supply Chain,Willie Sanders,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000063,7631,DataCo SMART Supply Chain,Alexander Nguyen,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000064,898,DataCo SMART Supply Chain,Cheryl Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000065,11888,DataCo SMART Supply Chain,Frank Barrett,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000066,450,DataCo SMART Supply Chain,Kathryn Carter,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000067,9821,DataCo SMART Supply Chain,Deborah Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000068,5648,DataCo SMART Supply Chain,Joshua Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000069,1577,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000070,10744,DataCo SMART Supply Chain,Samantha Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000071,5454,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000072,6305,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000073,2444,DataCo SMART Supply Chain,Kenneth Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000074,11048,DataCo SMART Supply Chain,Randy Ball,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000075,11768,DataCo SMART Supply Chain,Virginia Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000076,2970,DataCo SMART Supply Chain,Kenneth Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000077,2041,DataCo SMART Supply Chain,Paul Garcia,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000078,468,DataCo SMART Supply Chain,Mary Stone,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000079,5293,DataCo SMART Supply Chain,Michelle Callahan,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000080,7445,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000081,10291,DataCo SMART Supply Chain,Ann Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000082,10263,DataCo SMART Supply Chain,Katherine Bailey,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000083,9358,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000084,6615,DataCo SMART Supply Chain,Mary Meadows,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000085,6341,DataCo SMART Supply Chain,Daniel Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000086,3938,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000087,3957,DataCo SMART Supply Chain,Thomas Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000088,3420,DataCo SMART Supply Chain,Kenneth Price,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000089,4116,DataCo SMART Supply Chain,Mary Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000090,9580,DataCo SMART Supply Chain,Mary Robbins,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000091,5803,DataCo SMART Supply Chain,Rebecca Stewart,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
C000092,7962,DataCo SMART Supply Chain,Justin Smith,XXXXXXXXX,direct_dataco_customer,Direct mapping from DataCo Customer Id to Nelson DSS customer_id.
