contact_id,customer_id,source_customer_id,customer_full_name,contact_full_name,contact_email,role,influence_level,preferred_channel,synthetic_flag
CT000001,C000001,791,Mary Smith,Mary Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000002,C000001,791,Mary Smith,Mary Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000003,C000001,791,Mary Smith,Mary Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000004,C000002,9371,Mary Patterson,Mary Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000005,C000002,9371,Mary Patterson,Mary Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000006,C000002,9371,Mary Patterson,Mary Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000007,C000003,8766,Mary Duncan,Mary Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000008,C000003,8766,Mary Duncan,Mary Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000009,C000003,8766,Mary Duncan,Mary Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000010,C000003,8766,Mary Duncan,Mary Executive Sponsor,XXXXXXXXX+executive.sponsor@XXXXXXXXX,Executive Sponsor,High,Email,true
CT000011,C000004,1657,Betty Phillips,Betty Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000012,C000004,1657,Betty Phillips,Betty Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000013,C000004,1657,Betty Phillips,Betty Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000014,C000005,2641,Betty Spears,Betty Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000015,C000005,2641,Betty Spears,Betty Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000016,C000005,2641,Betty Spears,Betty Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000017,C000006,1288,Evelyn Thompson,Evelyn Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000018,C000006,1288,Evelyn Thompson,Evelyn Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000019,C000006,1288,Evelyn Thompson,Evelyn Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000020,C000006,1288,Evelyn Thompson,Evelyn Executive Sponsor,XXXXXXXXX+executive.sponsor@XXXXXXXXX,Executive Sponsor,High,Email,true
CT000021,C000007,3710,Ashley Smith,Ashley Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000022,C000007,3710,Ashley Smith,Ashley Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000023,C000007,3710,Ashley Smith,Ashley Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000024,C000007,3710,Ashley Smith,Ashley Executive Sponsor,XXXXXXXXX+executive.sponsor@XXXXXXXXX,Executive Sponsor,High,Email,true
CT000025,C000008,4249,Mary Butler,Mary Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000026,C000008,4249,Mary Butler,Mary Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000027,C000008,4249,Mary Butler,Mary Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000028,C000008,4249,Mary Butler,Mary Executive Sponsor,XXXXXXXXX+executive.sponsor@XXXXXXXXX,Executive Sponsor,High,Email,true
CT000029,C000009,5654,Jerry Smith,Jerry Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000030,C000009,5654,Jerry Smith,Jerry Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000031,C000009,5654,Jerry Smith,Jerry Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000032,C000009,5654,Jerry Smith,Jerry Executive Sponsor,XXXXXXXXX+executive.sponsor@XXXXXXXXX,Executive Sponsor,High,Email,true
CT000033,C000010,5624,Mary Mata,Mary Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000034,C000010,5624,Mary Mata,Mary Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000035,C000010,5624,Mary Mata,Mary Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000036,C000010,5624,Mary Mata,Mary Executive Sponsor,XXXXXXXXX+executive.sponsor@XXXXXXXXX,Executive Sponsor,High,Email,true
CT000037,C000011,5715,Kelly Smith,Kelly Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000038,C000011,5715,Kelly Smith,Kelly Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000039,C000011,5715,Kelly Smith,Kelly Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000040,C000012,1464,Amber Dixon,Amber Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000041,C000012,1464,Amber Dixon,Amber Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000042,C000012,1464,Amber Dixon,Amber Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000043,C000013,10235,Joseph Singh,Joseph Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000044,C000013,10235,Joseph Singh,Joseph Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000045,C000013,10235,Joseph Singh,Joseph Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000046,C000014,664,Bobby Jimenez,Bobby Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000047,C000014,664,Bobby Jimenez,Bobby Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000048,C000014,664,Bobby Jimenez,Bobby Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000049,C000015,10351,Teresa Gray,Teresa Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000050,C000015,10351,Teresa Gray,Teresa Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
CT000051,C000015,10351,Teresa Gray,Teresa Operations Contact,XXXXXXXXX+operations.contact@XXXXXXXXX,Operations Contact,Medium,Phone,true
CT000052,C000015,10351,Teresa Gray,Teresa Executive Sponsor,XXXXXXXXX+executive.sponsor@XXXXXXXXX,Executive Sponsor,High,Email,true
CT000053,C000016,2292,Ashley Smith,Ashley Primary Buyer,XXXXXXXXX+primary.buyer@XXXXXXXXX,Primary Buyer,High,Email,true
CT000054,C000016,2292,Ashley Smith,Ashley Billing Contact,XXXXXXXXX+billing.contact@XXXXXXXXX,Billing Contact,Medium,Email,true
