source_ticket_id,ticket_id,customer_id,source_customer_id,customer_full_name,support_customer_name,support_customer_email,mapping_method,mapping_confidence,mapping_note
5984,T5984,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5042,T5042,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5039,T5039,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5034,T5034,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6971,T6971,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5029,T5029,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6469,T6469,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6467,T6467,C000037,2723,Mary Brady,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6465,T6465,C001760,8437,Rachel Sweeney,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6464,T6464,C001760,8437,Rachel Sweeney,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6459,T6459,C001760,8437,Rachel Sweeney,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5528,T5528,C001760,8437,Rachel Sweeney,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5527,T5527,C001760,8437,Rachel Sweeney,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5521,T5521,C001760,8437,Rachel Sweeney,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5520,T5520,C001760,8437,Rachel Sweeney,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5519,T5519,C001247,6560,Melissa Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5994,T5994,C001247,6560,Melissa Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5973,T5973,C001247,6560,Melissa Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5970,T5970,C001247,6560,Melissa Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5969,T5969,C001247,6560,Melissa Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6944,T6944,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6943,T6943,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6939,T6939,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6968,T6968,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6959,T6959,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5045,T5045,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5025,T5025,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5022,T5022,C001281,4798,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6987,T6987,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6993,T6993,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6997,T6997,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5985,T5985,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5084,T5084,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
