customer_id,source_customer_id,customer_first_name,customer_last_name,customer_full_name,customer_email,customer_segment,customer_city,customer_state,customer_country,customer_street,customer_zipcode,latitude,longitude,primary_market,primary_region,total_orders,total_order_items,total_sales,total_profit,late_delivery_count,late_delivery_rate,avg_days_scheduled,avg_days_actual,avg_shipping_delay,top_category,top_product,first_order_date,last_order_date,support_ticket_count,open_support_ticket_count,critical_support_ticket_count,avg_ticket_satisfaction,review_count,last_review_decision,lifecycle_stage,churn_risk_reason,next_best_action,last_meaningful_touch_date,data_quality_flags,risk_score,risk_band,health_score,globe_x,globe_y,globe_z
C000001,791,Mary,Smith,Mary Smith,XXXXXXXXX,Corporate,Canton,MI,EE. UU.,6950 Honey Line,48187,38.61802673,-121.3454514,Europe,Central America,13,43,10524.17,-866.38,26,0.6047,3.26,3.47,0.21,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2015-02-21,2017-09-26,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-26,none,43,Medium,57,0.0,1.0,0.0
C000002,9371,Mary,Patterson,Mary Patterson,XXXXXXXXX,Consumer,Meridian,ID,EE. UU.,2525 Thunder Loop,83642,43.58177948,-116.3938828,Europe,Northern Europe,11,44,9299.03,1346.58,27,0.6136,2.91,3.86,0.95,Cleats,Perfect Fitness Perfect Rip Deck,2015-02-01,2017-09-06,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-06,none,48,Medium,52,-0.032976,0.998999,0.030209
C000003,8766,Mary,Duncan,Mary Duncan,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,1011 Iron Pioneer Autoroute,725,18.26387405,-66.3706131,Europe,Northern Europe,11,38,9296.14,1495.16,18,0.4737,3.47,3.95,0.47,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2015-07-03,2017-09-19,1,0,1,5.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-09-19,none,36,Medium,64,0.005528,0.997999,-0.062988
C000004,1657,Betty,Phillips,Betty Phillips,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,1475 Red Berry Village,725,18.24479485,-66.37050629,LATAM,South America,11,42,9223.71,2196.92,28,0.6667,3.14,4.29,1.14,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-17,2017-06-07,1,0,0,5.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-06-07,none,52,Medium,48,0.047106,0.996998,0.061441
C000005,2641,Betty,Spears,Betty Spears,XXXXXXXXX,Consumer,Carrollton,TX,EE. UU.,6398 Indian Brook Valley,75006,32.96593094,-96.84902191,LATAM,Western Europe,11,43,9130.92,2441.97,22,0.5116,3.67,3.74,0.07,Cleats,Perfect Fitness Perfect Rip Deck,2015-04-03,2017-08-07,1,0,0,5.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-08-07,none,36,Medium,64,-0.088009,0.995998,-0.015568
C000006,1288,Evelyn,Thompson,Evelyn Thompson,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,7894 Old Circle,725,18.24233246,-66.37063599,LATAM,Central America,12,42,9019.11,403.11,23,0.5476,3.19,3.71,0.52,Water Sports,Pelican Sunstream 100 Kayak,2015-01-06,2017-05-22,1,0,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-05-22,none,41,Medium,59,0.084291,0.994997,-0.053619
C000007,3710,Ashley,Smith,Ashley Smith,XXXXXXXXX,Consumer,Springfield,MO,EE. UU.,1564 Gentle Jetty,65807,37.18563843,-93.30171204,LATAM,Oceania,14,42,9019.1,1055.13,11,0.2619,3.4,2.76,-0.64,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2015-05-15,2017-08-04,1,0,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-08-04,none,18,Low,82,-0.028403,0.993997,0.105656
C000008,4249,Mary,Butler,Mary Butler,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,1411 Little Log Boulevard,725,18.27620125,-66.3706131,LATAM,Caribbean,13,39,8918.85,439.71,24,0.6154,3.0,3.59,0.59,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2015-06-14,2017-08-18,1,0,1,2.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-08-18,none,46,Medium,54,-0.054453,0.992996,-0.104847
C000009,5654,Jerry,Smith,Jerry Smith,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,9293 Hidden Vista,725,18.21306038,-66.37062073,USCA,West of USA ,15,47,8904.95,1045.36,39,0.8298,2.43,3.7,1.28,Cleats,Perfect Fitness Perfect Rip Deck,2015-03-11,2017-10-01,1,0,1,4.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-10-01,none,64,High,36,0.118607,0.991996,0.043315
C000010,5624,Mary,Mata,Mary Mata,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,7353 Round Spring Chase,725,18.29422379,-66.37052155,Europe,Western Europe,12,38,8761.98,1178.15,22,0.5789,3.11,3.58,0.47,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-06-15,2017-09-24,1,0,1,2.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-09-24,none,43,Medium,57,-0.123765,0.990995,0.051089
C000011,5715,Kelly,Smith,Kelly Smith,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,9623 Stony Bay,725,18.2375145,-66.3705368,LATAM,Central America,12,44,8595.13,-177.45,26,0.5909,3.66,4.3,0.64,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-01-13,2017-07-29,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-07-29,none,45,Medium,55,0.059806,0.989995,-0.127801
C000012,1464,Amber,Dixon,Amber Dixon,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,1555 Crystal Rise Forest,725,18.25997925,-66.37049866,Europe,Western Europe,12,42,8409.22,797.25,19,0.4524,2.67,3.31,0.64,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-08-09,2017-09-12,1,0,0,2.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-12,none,35,Medium,65,0.04428,0.988994,0.141171
C000013,10235,Joseph,Singh,Joseph Singh,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,1223 Heather Horse Turnabout,725,18.23097611,-66.37063599,LATAM,Central America,12,42,8404.22,1383.08,27,0.6429,2.52,2.98,0.45,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-17,2017-05-17,1,0,0,3.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-05-17,none,47,Medium,53,-0.133668,0.987994,-0.077464
C000014,664,Bobby,Jimenez,Bobby Jimenez,XXXXXXXXX,Home Office,Holland,MI,EE. UU.,3881 Blue Mount,49423,29.51066399,-98.54441071,Pacific Asia,West of USA ,12,39,8394.26,-68.45,29,0.7436,3.15,3.95,0.79,Cleats,Perfect Fitness Perfect Rip Deck,2015-04-24,2017-03-02,1,0,0,2.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-03-02,none,56,High,44,0.157011,0.986993,-0.034518
C000015,10351,Teresa,Gray,Teresa Gray,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,8021 Misty Plaza,725,18.28886795,-66.37054443,Europe,Western Europe,7,28,8339.26,696.62,23,0.8214,2.39,2.96,0.57,Cleats,Perfect Fitness Perfect Rip Deck,2015-07-24,2017-10-01,1,0,1,3.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-10-01,none,60,High,40,-0.095924,0.985993,0.136442
C000016,2292,Ashley,Smith,Ashley Smith,XXXXXXXXX,Corporate,San Benito,TX,EE. UU.,9720 Colonial Trail,78586,26.140728,-97.66805267,Europe,Western Europe,9,38,8293.04,1329.22,24,0.6316,3.37,3.89,0.53,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,2015-09-22,2017-07-20,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-07-20,none,47,Medium,53,-0.022181,0.984992,-0.171166
