outcome_id,review_id,customer_id,source_customer_id,customer_full_name,outcome_date,outcome_status,outcome_type,follow_up_required
OUT000001,R9001,C000001,791,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000002,R9002,C000002,9371,Mary Patterson,2026-05-07,Completed,Service recovery plan,False
OUT000003,R9003,C000003,8766,Mary Duncan,2026-05-08,In Progress,Executive escalation,True
OUT000004,R9004,C000003,8766,Mary Duncan,2026-05-08,In Progress,Executive escalation,True
OUT000005,R9005,C000003,8766,Mary Duncan,,Pending,Executive escalation,True
OUT000006,R9006,C000004,1657,Betty Phillips,2026-05-07,Completed,Service recovery plan,False
OUT000007,R9007,C000005,2641,Betty Spears,2026-05-07,Completed,Service recovery plan,False
OUT000008,R9008,C000006,1288,Evelyn Thompson,2026-05-07,In Progress,Executive escalation,True
OUT000009,R9009,C000006,1288,Evelyn Thompson,,Pending,Executive escalation,True
OUT000010,R9010,C000006,1288,Evelyn Thompson,2026-05-09,In Progress,Executive escalation,True
OUT000011,R9011,C000007,3710,Ashley Smith,2026-05-08,In Progress,Executive escalation,True
OUT000012,R9012,C000007,3710,Ashley Smith,2026-05-08,In Progress,Executive escalation,True
OUT000013,R9013,C000007,3710,Ashley Smith,2026-05-09,In Progress,Executive escalation,True
OUT000014,R9014,C000008,4249,Mary Butler,2026-05-07,In Progress,Executive escalation,True
OUT000015,R9015,C000008,4249,Mary Butler,2026-05-08,In Progress,Executive escalation,True
OUT000016,R9016,C000008,4249,Mary Butler,2026-05-09,In Progress,Executive escalation,True
OUT000017,R9017,C000009,5654,Jerry Smith,2026-05-08,In Progress,Executive escalation,True
OUT000018,R9018,C000009,5654,Jerry Smith,,Pending,Executive escalation,True
OUT000019,R9019,C000009,5654,Jerry Smith,2026-05-09,In Progress,Executive escalation,True
OUT000020,R9020,C000010,5624,Mary Mata,2026-05-07,In Progress,Executive escalation,True
OUT000021,R9021,C000010,5624,Mary Mata,2026-05-08,In Progress,Executive escalation,True
OUT000022,R9022,C000010,5624,Mary Mata,2026-05-09,In Progress,Executive escalation,True
OUT000023,R9023,C000011,5715,Kelly Smith,2026-05-07,Completed,Service recovery plan,False
OUT000024,R9024,C000012,1464,Amber Dixon,2026-05-07,Completed,Service recovery plan,False
OUT000025,R9025,C000013,10235,Joseph Singh,2026-05-07,Completed,Service recovery plan,False
OUT000026,R9026,C000014,664,Bobby Jimenez,,Pending,Service recovery plan,True
OUT000027,R9027,C000015,10351,Teresa Gray,2026-05-07,In Progress,Executive escalation,True
OUT000028,R9028,C000015,10351,Teresa Gray,,Pending,Executive escalation,True
OUT000029,R9029,C000015,10351,Teresa Gray,,Pending,Executive escalation,True
OUT000030,R9030,C000016,2292,Ashley Smith,2026-05-07,Completed,Service recovery plan,False
OUT000031,R9031,C000017,4663,Paul Smith,2026-05-07,Completed,Service recovery plan,False
OUT000032,R9032,C000018,3708,Judy Miller,2026-05-08,Completed,Service recovery plan,False
OUT000033,R9033,C000019,12284,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000034,R9034,C000019,12284,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000035,R9035,C000019,12284,Mary Smith,2026-05-09,In Progress,Executive escalation,True
OUT000036,R9036,C000023,1443,Denise Cohen,,Pending,Executive escalation,True
OUT000037,R9037,C000023,1443,Denise Cohen,,Pending,Executive escalation,True
OUT000038,R9038,C000023,1443,Denise Cohen,2026-05-09,In Progress,Executive escalation,True
OUT000039,R9039,C000024,6316,Kyle Smith,2026-05-08,Completed,Service recovery plan,False
OUT000040,R9040,C000025,12431,Mary Rios,2026-05-08,Completed,Service recovery plan,False
OUT000041,R9041,C000028,1011,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000042,R9042,C000028,1011,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000043,R9043,C000028,1011,Mary Smith,2026-05-09,In Progress,Executive escalation,True
OUT000044,R9044,C000032,10591,Deborah Humphrey,2026-05-08,In Progress,Executive escalation,True
OUT000045,R9045,C000032,10591,Deborah Humphrey,2026-05-08,In Progress,Executive escalation,True
OUT000046,R9046,C000032,10591,Deborah Humphrey,2026-05-09,In Progress,Executive escalation,True
OUT000047,R9047,C000034,9557,Mary Figueroa,2026-05-08,In Progress,Executive escalation,True
OUT000048,R9048,C000034,9557,Mary Figueroa,2026-05-08,In Progress,Executive escalation,True
OUT000049,R9049,C000034,9557,Mary Figueroa,2026-05-09,In Progress,Executive escalation,True
OUT000050,R9050,C000035,6375,Mary Smith,,Pending,Service recovery plan,True
OUT000051,R9051,C000036,4781,Janet Smith,,Pending,Service recovery plan,True
OUT000052,R9052,C000037,2723,Mary Brady,,Pending,Executive escalation,True
OUT000053,R9053,C000037,2723,Mary Brady,2026-05-08,In Progress,Executive escalation,True
OUT000054,R9054,C000037,2723,Mary Brady,2026-05-09,In Progress,Executive escalation,True
OUT000055,R9055,C000038,11017,Rachel Prince,2026-05-07,In Progress,Executive escalation,True
OUT000056,R9056,C000038,11017,Rachel Prince,2026-05-08,In Progress,Executive escalation,True
OUT000057,R9057,C000038,11017,Rachel Prince,2026-05-09,In Progress,Executive escalation,True
OUT000058,R9058,C000040,9271,Christopher Smith,2026-05-08,In Progress,Executive escalation,True
OUT000059,R9059,C000040,9271,Christopher Smith,,Pending,Executive escalation,True
OUT000060,R9060,C000040,9271,Christopher Smith,,Pending,Executive escalation,True
OUT000061,R9061,C000041,12285,Patrick Mcgee,2026-05-07,Completed,Service recovery plan,False
OUT000062,R9062,C000042,8517,Debra Smith,2026-05-08,Completed,Service recovery plan,False
OUT000063,R9063,C000043,7218,Mary Nguyen,2026-05-08,Completed,Service recovery plan,False
OUT000064,R9064,C000044,749,Jesse Matthews,2026-05-07,In Progress,Executive escalation,True
OUT000065,R9065,C000044,749,Jesse Matthews,2026-05-08,In Progress,Executive escalation,True
OUT000066,R9066,C000044,749,Jesse Matthews,2026-05-09,In Progress,Executive escalation,True
OUT000067,R9067,C000046,1492,Gerald Patel,2026-05-07,Completed,Service recovery plan,False
OUT000068,R9068,C000047,5691,James Brown,2026-05-07,Completed,Service recovery plan,False
OUT000069,R9069,C000048,5217,David Smith,,Pending,Service recovery plan,True
OUT000070,R9070,C000051,341,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000071,R9071,C000052,2484,Sarah Smith,2026-05-08,Completed,Service recovery plan,False
OUT000072,R9072,C000053,9883,Michelle Waters,2026-05-08,In Progress,Executive escalation,True
OUT000073,R9073,C000053,9883,Michelle Waters,2026-05-08,In Progress,Executive escalation,True
OUT000074,R9074,C000053,9883,Michelle Waters,2026-05-09,In Progress,Executive escalation,True
OUT000075,R9075,C000054,9494,Robert Gilmore,,Pending,Executive escalation,True
OUT000076,R9076,C000054,9494,Robert Gilmore,2026-05-08,In Progress,Executive escalation,True
OUT000077,R9077,C000054,9494,Robert Gilmore,2026-05-09,In Progress,Executive escalation,True
OUT000078,R9078,C000055,5283,Jacob Guerrero,2026-05-08,Completed,Service recovery plan,False
OUT000079,R9079,C000056,1695,Amanda Marquez,2026-05-08,Completed,Service recovery plan,False
OUT000080,R9080,C000059,9962,Diana Smith,2026-05-07,In Progress,Executive escalation,True
OUT000081,R9081,C000059,9962,Diana Smith,2026-05-08,In Progress,Executive escalation,True
OUT000082,R9082,C000059,9962,Diana Smith,2026-05-09,In Progress,Executive escalation,True
OUT000083,R9083,C000060,5053,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000084,R9084,C000061,773,Dylan Horton,,Pending,Executive escalation,True
OUT000085,R9085,C000061,773,Dylan Horton,,Pending,Executive escalation,True
OUT000086,R9086,C000061,773,Dylan Horton,,Pending,Executive escalation,True
OUT000087,R9087,C000062,11431,Willie Sanders,2026-05-08,Completed,Service recovery plan,False
OUT000088,R9088,C000065,11888,Frank Barrett,2026-05-08,In Progress,Executive escalation,True
OUT000089,R9089,C000065,11888,Frank Barrett,,Pending,Executive escalation,True
OUT000090,R9090,C000065,11888,Frank Barrett,2026-05-09,In Progress,Executive escalation,True
OUT000091,R9091,C000066,450,Kathryn Carter,,Pending,Service recovery plan,True
OUT000092,R9092,C000067,9821,Deborah Smith,2026-05-08,Completed,Service recovery plan,False
OUT000093,R9093,C000068,5648,Joshua Smith,2026-05-07,Completed,Service recovery plan,False
OUT000094,R9094,C000069,1577,Mary Smith,2026-05-08,Completed,Service recovery plan,False
OUT000095,R9095,C000070,10744,Samantha Smith,2026-05-08,Completed,Service recovery plan,False
OUT000096,R9096,C000071,5454,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000097,R9097,C000072,6305,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000098,R9098,C000074,11048,Randy Ball,,Pending,Executive escalation,True
OUT000099,R9099,C000074,11048,Randy Ball,,Pending,Executive escalation,True
OUT000100,R9100,C000074,11048,Randy Ball,2026-05-09,In Progress,Executive escalation,True
OUT000101,R9101,C000075,11768,Virginia Smith,2026-05-07,Completed,Service recovery plan,False
OUT000102,R9102,C000076,2970,Kenneth Smith,2026-05-07,In Progress,Executive escalation,True
OUT000103,R9103,C000076,2970,Kenneth Smith,2026-05-08,In Progress,Executive escalation,True
OUT000104,R9104,C000076,2970,Kenneth Smith,2026-05-09,In Progress,Executive escalation,True
OUT000105,R9105,C000077,2041,Paul Garcia,2026-05-07,Completed,Service recovery plan,False
OUT000106,R9106,C000078,468,Mary Stone,2026-05-08,In Progress,Executive escalation,True
OUT000107,R9107,C000078,468,Mary Stone,2026-05-08,In Progress,Executive escalation,True
OUT000108,R9108,C000078,468,Mary Stone,2026-05-09,In Progress,Executive escalation,True
OUT000109,R9109,C000079,5293,Michelle Callahan,,Pending,Executive escalation,True
OUT000110,R9110,C000079,5293,Michelle Callahan,2026-05-08,In Progress,Executive escalation,True
OUT000111,R9111,C000079,5293,Michelle Callahan,2026-05-09,In Progress,Executive escalation,True
OUT000112,R9112,C000080,7445,Mary Smith,2026-05-08,Completed,Service recovery plan,False
OUT000113,R9113,C000081,10291,Ann Smith,2026-05-07,In Progress,Executive escalation,True
OUT000114,R9114,C000081,10291,Ann Smith,2026-05-08,In Progress,Executive escalation,True
OUT000115,R9115,C000081,10291,Ann Smith,,Pending,Executive escalation,True
OUT000116,R9116,C000083,9358,Mary Smith,2026-05-08,Completed,Service recovery plan,False
OUT000117,R9117,C000084,6615,Mary Meadows,2026-05-08,Completed,Service recovery plan,False
OUT000118,R9118,C000086,3938,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000119,R9119,C000087,3957,Thomas Smith,2026-05-07,Completed,Service recovery plan,False
OUT000120,R9120,C000088,3420,Kenneth Price,2026-05-07,In Progress,Executive escalation,True
OUT000121,R9121,C000088,3420,Kenneth Price,2026-05-08,In Progress,Executive escalation,True
OUT000122,R9122,C000088,3420,Kenneth Price,2026-05-09,In Progress,Executive escalation,True
OUT000123,R9123,C000089,4116,Mary Smith,,Pending,Executive escalation,True
OUT000124,R9124,C000089,4116,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000125,R9125,C000089,4116,Mary Smith,,Pending,Executive escalation,True
OUT000126,R9126,C000090,9580,Mary Robbins,2026-05-08,Completed,Service recovery plan,False
OUT000127,R9127,C000092,7962,Justin Smith,2026-05-08,In Progress,Executive escalation,True
OUT000128,R9128,C000092,7962,Justin Smith,,Pending,Executive escalation,True
OUT000129,R9129,C000092,7962,Justin Smith,,Pending,Executive escalation,True
OUT000130,R9130,C000093,1540,Mary Mckee,2026-05-08,Completed,Service recovery plan,False
OUT000131,R9131,C000094,687,Ronald Harrison,,Pending,Service recovery plan,True
OUT000132,R9132,C000097,11645,Mary Ward,2026-05-08,In Progress,Executive escalation,True
OUT000133,R9133,C000097,11645,Mary Ward,2026-05-08,In Progress,Executive escalation,True
OUT000134,R9134,C000097,11645,Mary Ward,2026-05-09,In Progress,Executive escalation,True
OUT000135,R9135,C000098,7670,Anna Smith,2026-05-07,In Progress,Executive escalation,True
OUT000136,R9136,C000098,7670,Anna Smith,,Pending,Executive escalation,True
OUT000137,R9137,C000098,7670,Anna Smith,2026-05-09,In Progress,Executive escalation,True
OUT000138,R9138,C000099,2851,Mary Huffman,2026-05-07,In Progress,Executive escalation,True
OUT000139,R9139,C000099,2851,Mary Huffman,2026-05-08,In Progress,Executive escalation,True
OUT000140,R9140,C000099,2851,Mary Huffman,,Pending,Executive escalation,True
OUT000141,R9141,C000100,11378,Mary Foster,2026-05-08,Completed,Service recovery plan,False
OUT000142,R9142,C000101,12226,Nicholas Smith,2026-05-07,Completed,Service recovery plan,False
OUT000143,R9143,C000102,11344,Mary Sparks,2026-05-07,Completed,Service recovery plan,False
OUT000144,R9144,C000103,9337,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000145,R9145,C000104,11654,Michelle Acosta,2026-05-07,Completed,Service recovery plan,False
OUT000146,R9146,C000105,6285,Mary Garcia,2026-05-07,Completed,Service recovery plan,False
OUT000147,R9147,C000106,467,James Smith,2026-05-07,Completed,Service recovery plan,False
OUT000148,R9148,C000107,9490,Mary Glass,2026-05-07,In Progress,Executive escalation,True
OUT000149,R9149,C000107,9490,Mary Glass,2026-05-08,In Progress,Executive escalation,True
OUT000150,R9150,C000107,9490,Mary Glass,,Pending,Executive escalation,True
OUT000151,R9151,C000108,7417,Mary Soto,2026-05-08,Completed,Service recovery plan,False
OUT000152,R9152,C000109,4812,Nathan Fritz,2026-05-08,Completed,Service recovery plan,False
OUT000153,R9153,C000110,9697,Stephen Williams,,Pending,Service recovery plan,True
OUT000154,R9154,C000111,5828,Katherine Oconnell,2026-05-08,Completed,Service recovery plan,False
OUT000155,R9155,C000112,6050,Rebecca Arnold,,Pending,Service recovery plan,True
OUT000156,R9156,C000113,7954,Danielle Smith,2026-05-08,Completed,Service recovery plan,False
OUT000157,R9157,C000114,3979,Mary Wagner,2026-05-08,Completed,Service recovery plan,False
OUT000158,R9158,C000116,2813,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000159,R9159,C000117,6696,Mary Spencer,2026-05-08,Completed,Service recovery plan,False
OUT000160,R9160,C000119,8015,Mary Blackburn,2026-05-08,In Progress,Executive escalation,True
OUT000161,R9161,C000119,8015,Mary Blackburn,,Pending,Executive escalation,True
OUT000162,R9162,C000119,8015,Mary Blackburn,2026-05-09,In Progress,Executive escalation,True
OUT000163,R9163,C000121,3554,Michael Smith,2026-05-08,Completed,Service recovery plan,False
OUT000164,R9164,C000122,8314,Angela Walsh,,Pending,Executive escalation,True
OUT000165,R9165,C000122,8314,Angela Walsh,2026-05-08,In Progress,Executive escalation,True
OUT000166,R9166,C000122,8314,Angela Walsh,2026-05-09,In Progress,Executive escalation,True
OUT000167,R9167,C000123,154,Emily May,2026-05-07,Completed,Service recovery plan,False
OUT000168,R9168,C000124,10549,Mary Atkinson,2026-05-07,Completed,Service recovery plan,False
OUT000169,R9169,C000125,3879,Melissa Davis,2026-05-08,Completed,Service recovery plan,False
OUT000170,R9170,C000127,4022,Mary Harding,2026-05-08,In Progress,Executive escalation,True
OUT000171,R9171,C000127,4022,Mary Harding,2026-05-08,In Progress,Executive escalation,True
OUT000172,R9172,C000127,4022,Mary Harding,2026-05-09,In Progress,Executive escalation,True
OUT000173,R9173,C000128,9743,David Smith,2026-05-08,In Progress,Executive escalation,True
OUT000174,R9174,C000128,9743,David Smith,2026-05-08,In Progress,Executive escalation,True
OUT000175,R9175,C000128,9743,David Smith,,Pending,Executive escalation,True
OUT000176,R9176,C000129,3199,Ashley Hernandez,,Pending,Service recovery plan,True
OUT000177,R9177,C000130,12039,Mary Wilson,2026-05-08,Completed,Service recovery plan,False
OUT000178,R9178,C000131,2074,Mary Gross,2026-05-07,Completed,Service recovery plan,False
